,PatchTST,GARCH,Kalman
MSE,8.801225305121617e-05,0.00019080983195341256,0.00017211032358041353
MAE,0.007358378235319581,0.011147245224713272,0.010168267517628695
QLIKE,-6.370970273836063,-6.170877624114152,-6.159088600805889
DirAcc,0.5448717948717948,0.4700854700854701,0.33760683760683763
