,PatchTST,GARCH
MSE,0.00012889078347795902,0.00019180855973138601
MAE,0.008820355974479171,0.01117467293516377
QLIKE,-6.2820568841403395,-6.161855810768436
DirAcc,0.48917748917748916,0.4653679653679654
