,PatchTST,GARCH,Kalman
MSE,0.00013926175435008094,0.0001913972307809291,0.0001732532488557627
MAE,0.009365156453793938,0.011152692319613928,0.010191721984246442
QLIKE,-6.271923670643769,-6.16218441143811,-6.148554857670896
DirAcc,0.46436285097192226,0.46652267818574517,0.3390928725701944
