date,adjusted_close,return,target_logvar,target_std,target_ewma,target_garch,target_kalman
2014-01-01,771.4000244141,0.0,-7.330820688164043,0.025593471557325533,,,0.025668396862187238
2014-01-02,802.3900146484,0.0393877147906565,-4.6077589890502795,0.09987059351974832,0.02785132022391489,,0.031004640516855676
2014-01-03,818.7199707031,0.0201473170591333,-4.561713410337763,0.10219656790634928,0.0193665386768891,,0.028594695218887318
2014-01-04,859.5100097656,0.0486203615153684,-4.6162397566719555,0.09944800005876947,0.02355061690599362,,0.033838887563198985
2014-01-05,933.5300292969,0.0826106601783207,-4.816780069507945,0.08995995495738104,0.03550257035062827,,0.04664625273632301
2014-01-06,953.2899780273,0.0209460055512247,-4.7322975541230825,0.09384138225407085,0.03143667319291468,,0.0435508995194785
2014-01-07,802.0,-0.1728105286513956,-6.227758873354354,0.044428151406421555,0.11397438464292063,,0.07729763723278517
2014-01-08,842.7199707031,0.0495261131038731,-6.321087628753049,0.04240255770755756,0.10254000071814538,,0.07416257952617693
2014-01-09,846.8599853516,0.0049006534663833,-6.319142117700413,0.042443825327594296,0.08381976501067938,,0.06933525415074573
2014-01-10,868.4799804688,0.025209160280732,-6.256533351594302,0.043793525907961636,0.0698933692570036,,0.06562255077115668
2014-01-11,913.950012207,0.0510313440014202,-6.8204266614902584,0.03303400106493592,0.06157822439271154,,0.06411210119136226
2014-01-12,863.2199707031,-0.0571063293810159,-7.306252079573089,0.025909813361789262,0.06522748225772163,,0.06337127531985838
2014-01-13,841.200012207,-0.025840090997951,-7.005373522181441,0.03011619313947059,0.05442626789333256,,0.06044795199462922
2014-01-14,833.2700195313,-0.0094717156005792,-6.799509235151998,0.03338131039495507,0.04445283657809301,,0.057249110819325676
2014-01-15,860.9000244141,0.0326206392833414,-6.969029837177939,0.03066846857119128,0.04294085023518004,,0.05520919143008001
2014-01-16,835.6300048828,-0.0297924447959063,-7.290172594522672,0.02611896431396374,0.03922898891803415,,0.053175012957197176
2014-01-17,814.6400146484,-0.0254396213819632,-7.383960962346356,0.024922393781997395,0.03339155414834288,,0.05106747099011714
2014-01-18,840.0,0.03065557599251,-7.366916409108218,0.02513570035863639,0.03584667284904685,,0.04941204773656666
2014-01-19,870.9600219727,0.0361941849637039,-8.66471552867912,0.013136157463668915,0.034590393153154694,,0.04826674728954029
2014-01-20,870.200012207,-0.0008729924866734,-6.364861373956819,0.04148457563375578,0.02915771029657732,,0.04583697605268931
2014-01-21,863.9099731445,-0.0072545186887182,-6.200570463482259,0.04503624374193009,0.025177898348781737,,0.04360121933102964
2014-01-22,845.5900268555,-0.021433925302511,-5.0731685980891905,0.07913618123751154,0.024289055731299518,,0.041964177209364094
2014-01-23,822.0399780273,-0.0282456113799192,-4.940319115061816,0.08457130480527175,0.023291400831877647,,0.040838293956419275
2014-01-24,797.0700073242,-0.0308465154607935,-4.972549362850822,0.08321934855878203,0.021264210110460376,,0.039983211123523196
2014-01-25,853.6099853516,0.0685318843649795,-5.159022416251681,0.07581098484015295,0.04919995083054223,,0.04355225985006986
2014-01-26,885.2800292969,0.0364296143957432,-5.233248220038215,0.07304898415643382,0.04246622911317831,,0.04291957103312996
2014-01-27,771.3900146484,-0.137709911006544,-7.571614354765379,0.022690319734916958,0.08958181736948577,,0.0590217538626183
2014-01-28,812.5100097656,0.051934132602887,-8.884587183660763,0.011768489598777179,0.08581722042467248,,0.05838048082486992
2014-01-29,826.0,0.0164665396814642,-9.38974697657301,0.009141476926630096,0.07096371439710225,,0.05575209404851696
2014-01-30,819.0300292969,-0.0084740245319014,-9.620684368968362,0.00814445821223292,0.05821722631244677,,0.05308682221716033
2014-01-31,829.9199829102,0.0132085410219087,-9.206977030204753,0.010016331684562766,0.04814672332628745,,0.0506541329102659
2014-02-01,832.5800170898,0.003200043849092,-8.163320272155842,0.016879124023722915,0.039312007453620054,,0.048187558518304585
2014-02-02,825.3699951172,-0.0086975691320736,-6.483614977488167,0.03909304283563532,0.03272695239702854,,0.045911325689499065
2014-02-03,823.8300170898,-0.0018675460387909,-6.59701619006022,0.036938099287981765,0.026729513326524262,,0.04367249485470304
2014-02-04,827.9600219727,0.0050006518887366,-6.460492094340866,0.039547640545453386,0.02205530974213901,,0.041568648973055726
2014-02-05,811.9099731445,-0.0195754070745604,-6.3310430018921595,0.04219201433289085,0.021014503797648458,,0.0399983444013579
2014-02-06,781.549987793,-0.0381103517808707,-6.282681384540616,0.04322469219699164,0.024146539337112024,,0.03982241553324881
2014-02-07,712.4000244141,-0.0926395260367982,-7.26188082706427,0.02649107120957367,0.04465395686911666,,0.04745439202520848
2014-02-08,673.9199829102,-0.0555282015389604,-6.796059950082497,0.033438931412478494,0.03715449677571085,,0.04828113632878004
2014-02-09,682.9000244141,0.0132370875709062,-5.623533724430672,0.06009862918833882,0.04371478343812563,,0.046107204193379644
2014-02-10,681.0300292969,-0.0027420706565006,-5.6192983779033625,0.06022603365344906,0.03783889560244335,,0.04386650372287007
2014-02-11,672.1699829102,-0.0130951417654383,-5.509817039477426,0.06361476030661731,0.031032808680700456,,0.04192220794732774
2014-02-12,651.7199707031,-0.030896282414174,-5.48202107933176,0.06450505144133756,0.026406993635127055,,0.041000880773108005
2014-02-13,605.2399902344,-0.0739899194332691,-5.874022087874652,0.0530238841646462,0.03507885696742697,,0.04518867815209164
2014-02-14,661.9899902344,0.0896253778825659,-7.282132745471062,0.02622417343988645,0.07358870199332705,,0.05110775287596373
2014-02-15,650.9199829102,-0.016863714793275,-5.882730971409118,0.052793495895949775,0.06107168086989894,,0.04889324345847962
2014-02-16,616.6300048828,-0.0541175444420316,-5.7160203272465715,0.057382742045347025,0.05666914682716205,,0.04941405621548801
2014-02-17,626.2700195313,0.0155124431080375,-5.48885856777261,0.06428490117178412,0.04992447903580662,,0.04724768460710267
2014-02-18,626.5999755859,0.0005267203516954,-5.488739555373753,0.0642887266450084,0.04102202487446695,,0.0449443900091304
2014-02-19,623.0300292969,-0.0057136208108392,-5.117605601495791,0.07739728044103435,0.0334950754431416,,0.04278944453742324
2014-02-20,556.1400146484,-0.1135746312892296,-5.619291863006777,0.06022622983749998,0.06321727280035315,,0.05370169185232545
2014-02-21,574.1599731445,0.0318879688930611,-5.3078594872980815,0.0703740456711125,0.06449450799858164,,0.052021739196045684
2014-02-22,605.4199829102,0.0530143474749165,-5.479641730042918,0.06458183731584355,0.06430897319751955,,0.052116978726806366
2014-02-23,605.8200073242,0.0006605205108298,-5.408930111882891,0.0669060305670762,0.05259276650837222,,0.04957656188603786
2014-02-24,546.3200073242,-0.1033780262747514,-6.015806310641986,0.0493950429677226,0.0712234265199598,,0.05692678026903568
2014-02-25,538.7100219727,-0.0140274645497244,-6.030634038309433,0.04903018750414461,0.05887852863142751,,0.054324044348424
2014-02-26,582.6900024414,0.078477883192491,-4.8554584634400975,0.08823691431162009,0.0729695949060251,,0.0570634530475551
2014-02-27,578.7700195313,-0.0067501209170313,-4.866334455626164,0.08775838400058761,0.06015789897501999,,0.05432142997810104
2014-02-28,549.2600097656,-0.052333260261034,-5.086954679216981,0.07859256718541652,0.057334097674692115,,0.05413544567883864
2014-03-01,565.6099853516,0.0293328333431555,-5.032356094510953,0.080767646057515,0.052302932487660214,,0.052284928856547945
2014-03-02,559.7899780273,-0.0103430947196923,-4.8513137031985805,0.08841996458273729,0.043040219438009314,,0.04983817537070549
2014-03-03,667.7600097656,0.1763671680194702,-7.590417190357458,0.02247799404140465,0.10113363534359693,,0.07215597246920658
2014-03-04,666.7800292969,-0.0014686418034077,-6.960326290017783,0.030802223041853004,0.08803026887279268,,0.06863978603852562
2014-03-05,665.5100097656,-0.0019065216713398,-6.975078106864775,0.030575862097034074,0.07476150777732253,,0.06529617420555553
2014-03-06,663.8599853516,-0.0024824168852948,-6.884473299881818,0.0319928917106651,0.06263093009350106,,0.06211764061674694
2014-03-07,629.1500244141,-0.0537015209639832,-7.801493699770377,0.020226552222168674,0.06273431244164919,,0.06136675124506086
2014-03-08,617.450012207,-0.0187716275090181,-8.144189406111892,0.017041360488085106,0.05155149936068042,,0.0586614693715799
2014-03-09,636.9600219727,0.0311087804143541,-8.812683045428422,0.012199319366208699,0.04768642656356443,,0.05662052968021768
2014-03-10,627.7899780273,-0.0145012131069908,-8.95278663032386,0.011373923412719398,0.03998448005237589,,0.054045607956739426
2014-03-11,634.1099853516,0.010016737222914,-8.96750405752196,0.011290526696728172,0.033359559413786995,,0.05150357939687158
2014-03-12,632.0999755859,-0.0031748470096726,-8.723906314463752,0.012753061750382707,0.027341845236556347,,0.04900252110090682
2014-03-13,638.1400146484,0.0095101471093466,-9.028078851149486,0.010953665865827009,0.02289925054167773,,0.04670580044095976
2014-03-14,628.799987793,-0.0147444962619758,-9.165987825607315,0.010223750899599898,0.02092016634432115,,0.04466098176163951
2014-03-15,636.1199951172,0.011573995409976,-8.955934767057489,0.011356032778885729,0.018701674176162277,,0.042633430298980694
