date,target_logvar
2014-01-01,-7.228633956323626
2014-01-02,-4.713947299173581
2014-01-03,-4.6663119130542245
2014-01-04,-4.7203125950556295
2014-01-05,-4.952810724743892
2014-01-06,-4.858280360090707
2014-01-07,-6.2326312407894395
2014-01-08,-6.3272020235405195
2014-01-09,-6.322479916766458
2014-01-10,-6.258514647057417
2014-01-11,-6.83998590189236
2014-01-12,-7.301218626323083
2014-01-13,-6.999318839036323
2014-01-14,-6.793549752402818
2014-01-15,-6.9619658541378655
2014-01-16,-7.2752790722670575
2014-01-17,-7.365417827720456
2014-01-18,-7.35622561191584
2014-01-19,-8.696522329208209
2014-01-20,-6.3223903343124785
2014-01-21,-6.166691945314306
2014-01-22,-5.14071697006508
2014-01-23,-5.00856559444889
2014-01-24,-5.051850559723449
2014-01-25,-5.252650498712392
2014-01-26,-5.332129137444919
2014-01-27,-7.52413084753829
2014-01-28,-8.877959600220228
2014-01-29,-9.385986230213348
2014-01-30,-9.616219635781587
2014-01-31,-9.221431949128021
2014-02-01,-8.19723577614795
2014-02-02,-6.57270304067757
2014-02-03,-6.685026329153819
2014-02-04,-6.539231312467916
2014-02-05,-6.407457454572282
2014-02-06,-6.362502451781909
2014-02-07,-7.305043790616748
2014-02-08,-6.859858199929271
2014-02-09,-5.594839654818669
2014-02-10,-5.5881155445146575
2014-02-11,-5.480977398814735
2014-02-12,-5.461947153586571
2014-02-13,-5.82910688944606
2014-02-14,-7.324344621632793
2014-02-15,-5.981097215633888
2014-02-16,-5.8073313573964
2014-02-17,-5.556982995947627
2014-02-18,-5.556883855957866
2014-02-19,-5.185024115895063
2014-02-20,-5.674231880903111
2014-02-21,-5.331425400618307
2014-02-22,-5.503911611484406
2014-02-23,-5.426519059031071
2014-02-24,-5.984098789405935
2014-02-25,-5.998968861926524
2014-02-26,-4.708990041992792
2014-02-27,-4.719416720435554
2014-02-28,-4.910870186486595
2014-03-01,-4.857743687927973
2014-03-02,-4.701794016055139
2014-03-03,-7.6448905446553415
2014-03-04,-6.983985337435925
2014-03-05,-6.996412046568608
2014-03-06,-6.9062073654303235
2014-03-07,-7.7891085970372576
2014-03-08,-8.126925159588623
2014-03-09,-8.817330735378633
2014-03-10,-8.955194240146787
2014-03-11,-8.969077953828704
2014-03-12,-8.726666103486203
2014-03-13,-9.030181503055458
2014-03-14,-9.166644864776833
2014-03-15,-9.000085717115121
2014-03-16,-8.90356853659555
2014-03-17,-8.841772860401882
2014-03-18,-8.682767944644208
2014-03-19,-7.0622901922671755
2014-03-20,-7.3461654639103715
2014-03-21,-7.7643644266066785
2014-03-22,-4.825597441937622
2014-03-23,-4.661824807355906
2014-03-24,-4.771328300449399
2014-03-25,-4.7919557833152755
2014-03-26,-4.7959942158881965
2014-03-27,-6.109298176445818
2014-03-28,-5.905396195739809
2014-03-29,-5.790216171245645
2014-03-30,-6.001137333251459
2014-03-31,-5.901890009667252
2014-04-01,-6.143626185108679
2014-04-02,-7.708323158274729
2014-04-03,-7.792837640466413
2014-04-04,-7.5096612120717445
2014-04-05,-5.183064694964824
2014-04-06,-4.297223132838431
2014-04-07,-4.29904805409206
2014-04-08,-4.304140971846142
2014-04-09,-4.1197313344306865
2014-04-10,-5.1376472145326915
2014-04-11,-5.494647231166755
2014-04-12,-5.075670046818774
2014-04-13,-5.0022971732311
2014-04-14,-5.269803315480727
2014-04-15,-6.333188084462688
2014-04-16,-6.484053381581724
2014-04-17,-7.056250278567762
2014-04-18,-7.448601538538315
2014-04-19,-8.629921373505995
2014-04-20,-6.556981997854448
2014-04-21,-6.5614356609503455
2014-04-22,-6.411865476140063
2014-04-23,-6.394282069419561
2014-04-24,-6.4285027029130015
2014-04-25,-7.360395329357214
2014-04-26,-7.1358461188583515
2014-04-27,-8.299058881615233
2014-04-28,-7.730105937109633
2014-04-29,-7.94878218342517
2014-04-30,-7.977938155267838
2014-05-01,-9.380082249423719
2014-05-02,-8.068596452612942
2014-05-03,-8.65921859211616
2014-05-04,-8.338693683816063
2014-05-05,-8.571819502261281
2014-05-06,-7.523559224098333
2014-05-07,-7.721454386241491
2014-05-08,-7.720062068995551
2014-05-09,-7.986700321188645
2014-05-10,-8.0532197895176
2014-05-11,-11.020373749906383
2014-05-12,-11.035622199900013
2014-05-13,-10.415134785526103
2014-05-14,-10.690966002860378
2014-05-15,-6.436479852731883
2014-05-16,-6.474364752671713
2014-05-17,-6.31109896642871
2014-05-18,-6.285246827645207
2014-05-19,-6.360921261908594
2014-05-20,-6.3636591552658714
2014-05-21,-6.407763124540429
2014-05-22,-6.313404157448053
2014-05-23,-6.414224095473892
2014-05-24,-6.259488773131461
2014-05-25,-6.36457114733321
2014-05-26,-6.369418707275734
2014-05-27,-6.599234713066054
2014-05-28,-6.531343903216756
2014-05-29,-6.879342845792954
2014-05-30,-6.943109931807981
2014-05-31,-6.871069636054852
2014-06-01,-6.795166361844943
2014-06-02,-7.398867729109689
2014-06-03,-7.462077232002807
2014-06-04,-8.379751603427504
2014-06-05,-9.84468872006702
2014-06-06,-8.390199048814418
2014-06-07,-6.873252694143438
2014-06-08,-6.600462221843932
2014-06-09,-6.556501319177356
2014-06-10,-6.316072679795818
2014-06-11,-6.320801609691864
2014-06-12,-7.092310245155126
2014-06-13,-7.147039950816358
2014-06-14,-7.735112556000019
2014-06-15,-8.012663474694886
2014-06-16,-8.015615349401898
2014-06-17,-9.107719356286156
2014-06-18,-8.903509509450059
2014-06-19,-8.756452758440826
2014-06-20,-8.258771364196887
2014-06-21,-7.570765935751048
2014-06-22,-7.27426993388396
2014-06-23,-7.343156500346621
2014-06-24,-7.56856896787844
2014-06-25,-7.485814192320154
2014-06-26,-7.313378260605848
2014-06-27,-7.3402279474132675
2014-06-28,-7.219939491484875
2014-06-29,-6.868162470788649
2014-06-30,-8.518742361185877
2014-07-01,-8.438985200890608
