date,target_ewma
2014-01-02,0.028407093012762136
2014-01-03,0.019728524087452484
2014-01-04,0.02413638392017985
2014-01-05,0.037096432359370865
2014-01-06,0.03289921068888519
2014-01-07,0.10756913837342627
2014-01-08,0.09687579359287632
2014-01-09,0.07909239548273281
2014-01-10,0.06586156035086649
2014-01-11,0.05842116700759919
2014-01-12,0.0633009232650169
2014-01-13,0.053042927587553065
2014-01-14,0.04331178161975233
2014-01-15,0.04207193710508926
2014-01-16,0.03866735315876476
2014-01-17,0.03299989499676707
2014-01-18,0.035584668456836825
2014-01-19,0.03445219576347979
2014-01-20,0.02912374303678945
2014-01-21,0.025212179152350016
2014-01-22,0.0243213797076269
2014-01-23,0.023273491891190597
2014-01-24,0.021210365862108
2014-01-25,0.050195972124884095
2014-01-26,0.04317526955806458
2014-01-27,0.0858755020506602
2014-01-28,0.08261726279465427
2014-01-29,0.06816273830358494
2014-01-30,0.056053419122301384
2014-01-31,0.0463004743223386
2014-02-01,0.037809733951964894
2014-02-02,0.03158712302362979
2014-02-03,0.025805657714286983
2014-02-04,0.021288606480869228
2014-02-05,0.020480615987276213
2014-02-06,0.023641732740005812
2014-02-07,0.04268015396134265
2014-02-08,0.035586890606513294
2014-02-09,0.04225746237493867
2014-02-10,0.03652660133708886
2014-02-11,0.029935144201261067
2014-02-12,0.025554667476152967
2014-02-13,0.03374897517024981
2014-02-14,0.07459855144218831
2014-02-15,0.062083505337929175
2014-02-16,0.05741538389854262
2014-02-17,0.05022685682512347
2014-02-18,0.04121030506468192
2014-02-19,0.03365299160296404
2014-02-20,0.06055840288624697
2014-02-21,0.06216947357470167
2014-02-22,0.06266257225243349
2014-02-23,0.05130862494900053
2014-02-24,0.06888361499555828
2014-02-25,0.05680491327100153
2014-02-26,0.07246818431587088
2014-02-27,0.05992026956588202
2014-02-28,0.057196885587786746
2014-03-01,0.05197346709251535
2014-03-02,0.04284515401524074
2014-03-03,0.10891172724889221
2014-03-04,0.09508605355357318
2014-03-05,0.08088109514737547
2014-03-06,0.06781548804965067
2014-03-07,0.0663354327486141
2014-03-08,0.05456303028051662
2014-03-09,0.04971139977751831
2014-03-10,0.04169456726081813
2014-03-11,0.03466511531056716
2014-03-12,0.028424903466497797
2014-03-13,0.0237330323308956
2014-03-14,0.021556408019683844
2014-03-15,0.01915330315003193
2014-03-16,0.01649644975453196
2014-03-17,0.015019550150519414
2014-03-18,0.01275861302870546
2014-03-19,0.010419260721520092
2014-03-20,0.016505328698627964
2014-03-21,0.015027207184557762
2014-03-22,0.01328273877852636
2014-03-23,0.012310944798609025
2014-03-24,0.029926978127546914
2014-03-25,0.024483848502232945
2014-03-26,0.020442523609258034
2014-03-27,0.10089072793637936
2014-03-28,0.10216351832039872
2014-03-29,0.08381690504144484
2014-03-30,0.07217220903997242
2014-03-31,0.060598592578549666
2014-04-01,0.062275153565074216
2014-04-02,0.06781400259972947
2014-04-03,0.06061054774392862
2014-04-04,0.05061650088707095
2014-04-05,0.04621940786412802
2014-04-06,0.03803542397019465
2014-04-07,0.034162783167720534
2014-04-08,0.028879898796390673
2014-04-09,0.02617396173825821
2014-04-10,0.09040219603208528
2014-04-11,0.13602122009375642
2014-04-12,0.11113700055452536
2014-04-13,0.0915045222725368
2014-04-14,0.0945228115064163
2014-04-15,0.0903222555226045
2014-04-16,0.07692979085145185
2014-04-17,0.0855499120721346
2014-04-18,0.0740729388490925
2014-04-19,0.06544126502599201
2014-04-20,0.05455173670971486
2014-04-21,0.044983676457614225
2014-04-22,0.03806750087078297
2014-04-23,0.03153458835604336
2014-04-24,0.027524188759806528
2014-04-25,0.04979185225465534
2014-04-26,0.0414764207546501
2014-04-27,0.03780209560490003
2014-04-28,0.03626138694273351
2014-04-29,0.033784359323602096
2014-04-30,0.02775552502830612
2014-05-01,0.026350198626775175
2014-05-02,0.024931894984019824
2014-05-03,0.023820188809830858
2014-05-04,0.01980545680242893
2014-05-05,0.016182283003384913
2014-05-06,0.013305333432482486
2014-05-07,0.019809178863040677
2014-05-08,0.016183430652885234
2014-05-09,0.016494653624477287
2014-05-10,0.013529100143696373
2014-05-11,0.02551889179498664
2014-05-12,0.02162524310423455
2014-05-13,0.01765784163435972
2014-05-14,0.015187164730821528
2014-05-15,0.012788685383197116
2014-05-16,0.01047716664080643
2014-05-17,0.008570868214351908
2014-05-18,0.008290194486957489
2014-05-19,0.0067690183339976315
2014-05-20,0.04715763140780343
2014-05-21,0.0395254839414153
2014-05-22,0.0394277785627813
2014-05-23,0.04041863357668933
2014-05-24,0.03372249871886619
2014-05-25,0.04613283433261608
2014-05-26,0.03924862810192042
2014-05-27,0.04340100259207763
2014-05-28,0.03557577608450315
2014-05-29,0.03295944903952335
2014-05-30,0.049429097410642636
2014-05-31,0.041336450947035246
2014-06-01,0.03459073135729737
2014-06-02,0.031898396420184306
2014-06-03,0.02788259125305388
2014-06-04,0.03986884259036945
2014-06-05,0.03512440016598441
2014-06-06,0.030418850241968415
2014-06-07,0.024870724991089027
2014-06-08,0.020328782320304023
2014-06-09,0.018084376570892485
2014-06-10,0.015314302837536323
2014-06-11,0.02092327900063856
2014-06-12,0.03742316445015239
2014-06-13,0.0414588379332936
2014-06-14,0.03633678674237637
2014-06-15,0.039083952469929496
2014-06-16,0.031979259773803344
2014-06-17,0.032099255365992854
2014-06-18,0.02704732250758314
2014-06-19,0.024461113735462316
2014-06-20,0.020062595269064447
2014-06-21,0.016643239909869233
2014-06-22,0.015599778846877544
2014-06-23,0.015366410570454988
2014-06-24,0.015321469863297172
