date,target_garch
2014-04-11,0.052490708993551294
2014-04-12,0.06524654104446112
2014-04-13,0.05302166115858699
2014-04-14,0.05277539671139065
2014-04-15,0.05812914782879605
2014-04-16,0.06308958580610796
2014-04-17,0.05452100721903596
2014-04-18,0.05576570418788409
2014-04-19,0.0544053881957123
2014-04-20,0.05517144365595447
2014-04-21,0.053711656619646705
2014-04-22,0.05341159276748578
2014-04-23,0.05320908626983884
2014-04-24,0.052922720146436564
2014-04-25,0.05292358261295304
2014-04-26,0.05593377751749082
2014-04-27,0.05268221189464985
2014-04-28,0.05365957030258118
2014-04-29,0.05246484909608477
2014-04-30,0.05238164470302931
2014-05-01,0.05191883434241554
2014-05-02,0.05215101731677034
2014-05-03,0.05161843362067073
2014-05-04,0.05156615945261018
2014-05-05,0.051034395044041475
2014-05-06,0.05078417251276383
2014-05-07,0.0505586010416422
2014-05-08,0.05089181064836039
2014-05-09,0.05020466224008143
2014-05-10,0.050448725723645685
2014-05-11,0.04997330680856655
2014-05-12,0.05030374722287805
2014-05-13,0.049530419650193
2014-05-14,0.04923896633808207
2014-05-15,0.049130553161962666
2014-05-16,0.04892770254646195
2014-05-17,0.04738637797543232
2014-05-18,0.04687289515740901
2014-05-19,0.04634730063304782
2014-05-20,0.0458803272185363
2014-05-21,0.054687749006805446
2014-05-22,0.050170751018385425
2014-05-23,0.051963608862100316
2014-05-24,0.04952203040266463
2014-05-25,0.04835523143194709
2014-05-26,0.05376310897801345
2014-05-27,0.04919684845427834
2014-05-28,0.048962467676848566
2014-05-29,0.048653189965784015
2014-05-30,0.048504779679244124
2014-05-31,0.052677613173745245
2014-06-01,0.048823772833559875
2014-06-02,0.04860969760941432
2014-06-03,0.04981732511410798
2014-06-04,0.04847997347363814
2014-06-05,0.04912419907191744
2014-06-06,0.04865646953011851
2014-06-07,0.04810385569136323
2014-06-08,0.047896857967316
2014-06-09,0.04684162052968703
2014-06-10,0.046485860769140415
2014-06-11,0.046122879474260144
2014-06-12,0.0463301054923982
2014-06-13,0.04918672119985235
2014-06-14,0.04799203890755302
2014-06-15,0.04773541079590473
2014-06-16,0.04727937721043504
2014-06-17,0.04645018243027392
2014-06-18,0.04656856812410326
2014-06-19,0.04589372047742825
2014-06-20,0.04549861848818476
2014-06-21,0.045019357124173494
2014-06-22,0.04458973685515897
2014-06-23,0.04434358344151778
2014-06-24,0.044025112079537784
2014-06-25,0.043832234358088085
2014-06-26,0.04388130616870861
2014-06-27,0.044000869522039514
2014-06-28,0.04408668582075835
2014-06-29,0.0433848359284345
2014-06-30,0.03814273787821441
2014-07-01,0.03745868815272099
2014-07-02,0.04435045910272735
2014-07-03,0.0436929679298853
2014-07-04,0.0430158160676547
2014-07-05,0.04272760496894511
2014-07-06,0.04209804529103823
2014-07-07,0.041547134907116826
2014-07-08,0.04122665230872608
2014-07-09,0.04061201156203428
2014-07-10,0.039961322885709055
2014-07-11,0.03494187399660056
2014-07-12,0.031664493184827856
2014-07-13,0.0315332766782112
2014-07-14,0.03154910414318282
2014-07-15,0.02957946317974146
2014-07-16,0.029453939681959144
2014-07-17,0.029120982624604667
2014-07-18,0.028882042433767192
2014-07-19,0.028160154344349132
2014-07-20,0.02824935523834399
2014-07-21,0.02793879218140106
2014-07-22,0.027660102688966397
2014-07-23,0.02732535760851629
2014-07-24,0.027135172899512748
2014-07-25,0.02759896166645887
2014-07-26,0.027082641912526132
2014-07-27,0.027090669651579344
2014-07-28,0.026816834395186565
2014-07-29,0.026742335395268668
2014-07-30,0.026437134289420478
2014-07-31,0.027012079259192825
2014-08-01,0.0278293650707034
2014-08-02,0.027732332247953448
2014-08-03,0.027458507810038727
2014-08-04,0.027162592085477198
2014-08-05,0.026866415608423008
2014-08-06,0.026607349210457012
2014-08-07,0.026335151134826283
2014-08-08,0.026133050734470788
2014-08-09,0.025925634222756205
2014-08-10,0.025722203008265783
2014-08-11,0.025490194281760113
2014-08-12,0.025873298299351987
2014-08-13,0.02576799540109301
2014-08-14,0.02704313230204402
2014-08-15,0.03144965503495806
2014-08-16,0.0310450692736054
2014-08-17,0.032368184633970315
2014-08-18,0.0338982007996668
2014-08-19,0.03587200620030976
2014-08-20,0.037108251669433705
2014-08-21,0.038447866884780905
2014-08-22,0.03763084269054482
2014-08-23,0.036783583032227465
2014-08-24,0.03659731323028391
2014-08-25,0.036104649284734947
2014-08-26,0.03538616527105829
2014-08-27,0.03489073495823934
2014-08-28,0.03413519659297699
2014-08-29,0.033470602472856964
2014-08-30,0.03269891161912011
2014-08-31,0.03220704915583315
2014-09-01,0.033663899355556144
2014-09-02,0.032996117422417925
2014-09-03,0.032358047224328
2014-09-04,0.03175858754597835
2014-09-05,0.031735212242825925
2014-09-06,0.03124152833892207
2014-09-07,0.03070252005109814
2014-09-08,0.030175350731565312
2014-09-09,0.029846528371237302
2014-09-10,0.029352803426340474
2014-09-11,0.028962511482451225
2014-09-12,0.02851041395963831
2014-09-13,0.0280864679815437
2014-09-14,0.027669445132618587
2014-09-15,0.02729914929784592
2014-09-16,0.02694518444105902
2014-09-17,0.026916918064421556
2014-09-18,0.026853669637286578
2014-09-19,0.030189257121162872
2014-09-20,0.03388834897389816
2014-09-21,0.0342878939398685
2014-09-22,0.03395702651584826
2014-09-23,0.03327892037998546
2014-09-24,0.03792485408406452
2014-09-25,0.03752862697500096
2014-09-26,0.03709775357269913
2014-09-27,0.03639522532577606
2014-09-28,0.03562984811514411
2014-09-29,0.036888352587430145
2014-09-30,0.03602732105328264
2014-10-01,0.035923389014547474
