date,target_std
2014-01-01,0.026935130714487606
2014-01-02,0.09470635190736927
2014-01-03,0.09698911841577859
2014-01-04,0.09440541373902339
2014-01-05,0.08404473433944468
2014-01-06,0.08811250421387348
2014-01-07,0.04432004745236627
2014-01-08,0.042273121952688876
2014-01-09,0.04237304952907082
2014-01-10,0.04375016320667031
2014-01-11,0.03271251268519224
2014-01-12,0.02597510437439865
2014-01-13,0.030207504291956812
2014-01-14,0.03348092730058727
2014-01-15,0.030776982013225776
2014-01-16,0.026314194858049877
2014-01-17,0.02515454166091057
2014-01-18,0.02527042256816205
2014-01-19,0.01292888820147244
2014-01-20,0.0423749475230274
2014-01-21,0.04580562605867567
2014-01-22,0.0765080481411079
2014-01-23,0.08173413578809827
2014-01-24,0.0799842081899274
2014-01-25,0.07234375076281058
2014-01-26,0.06952522774680091
2014-01-27,0.023235484026730407
2014-01-28,0.011807555425586407
2014-01-29,0.00915868454300325
2014-01-30,0.0081626626785357
2014-01-31,0.009944192815906324
2014-02-01,0.01659529524273818
2014-02-02,0.0373898838346081
2014-02-03,0.035347869179934814
2014-02-04,0.0380209059096362
2014-02-05,0.04061037272997043
2014-02-06,0.041533534227293306
2014-02-07,0.025925471595005186
2014-02-08,0.032389082716920446
2014-02-09,0.06096708365995796
2014-02-10,0.061172403863731246
2014-02-11,0.06453872163940345
2014-02-12,0.06515574784115802
2014-02-13,0.05422814933136799
2014-02-14,0.02567647965170342
2014-02-15,0.05025975672577289
2014-02-16,0.05482180063394374
2014-02-17,0.062132082740017344
2014-02-18,0.06213516271135509
2014-02-19,0.0748317550873499
2014-02-20,0.05859432695212031
2014-02-21,0.06954969583349514
2014-02-22,0.06380287455033758
2014-02-23,0.06632020571540964
2014-02-24,0.05018438381663785
2014-02-25,0.04981264328084598
2014-02-26,0.09494138520008243
2014-02-27,0.09444771096609011
2014-02-28,0.08582578681348906
2014-03-01,0.08813615118094874
2014-03-02,0.09528360119320756
2014-03-03,0.02187401837270639
2014-03-04,0.03043999029534709
2014-03-05,0.03025144016610002
2014-03-06,0.03164710274556548
2014-03-07,0.020352197869963343
2014-03-08,0.017189105414784397
2014-03-09,0.012171001048520503
2014-03-10,0.01136023860739542
2014-03-11,0.011281644435718418
2014-03-12,0.012735474924487431
2014-03-13,0.01094215508417536
2014-03-14,0.010220392427509226
2014-03-15,0.011108070318811216
2014-03-16,0.011657318945356817
2014-03-17,0.012023153647307966
2014-03-18,0.013018114413883682
2014-03-19,0.029271207310994803
2014-03-20,0.025397856882589828
2014-03-21,0.020605567159269807
2014-03-22,0.08956422222461193
2014-03-23,0.09720696314149883
2014-03-24,0.0920277846369223
2014-03-25,0.0910835106045514
2014-03-26,0.09089977863431802
2014-03-27,0.04713915352085866
2014-03-28,0.05219858284964516
2014-03-29,0.05529295796077189
2014-03-30,0.049758663687366485
2014-03-31,0.05229017241635774
2014-04-01,0.046336957356237905
2014-04-02,0.02119112719844263
2014-04-03,0.02031428519360019
2014-04-04,0.023404201204168466
2014-04-05,0.07490510459656383
2014-04-06,0.11664595775305597
2014-04-07,0.11653957137514057
2014-04-08,0.11624318545773488
2014-04-09,0.12747105306695053
2014-04-10,0.0766255690106103
2014-04-11,0.06409910789717535
2014-04-12,0.07903726540047351
2014-04-13,0.08199071003528877
2014-04-14,0.07172595305117638
2014-04-15,0.04214678566041411
2014-04-16,0.039084474443691765
2014-04-17,0.029359739738943572
2014-04-18,0.024129759731643167
2014-04-19,0.013366700920273308
2014-04-20,0.037684948071243576
2014-04-21,0.03760112281543096
2014-04-22,0.040520965051152706
2014-04-23,0.040878786139574554
2014-04-24,0.04018528288816869
2014-04-25,0.02521779136479083
2014-04-26,0.02821421526980507
2014-04-27,0.015771519297567732
2014-04-28,0.02096157356039895
2014-04-29,0.018790473758701656
2014-04-30,0.018518525725080573
2014-05-01,0.00918576405978414
2014-05-02,0.017697813295707604
2014-05-03,0.013172313529358633
2014-05-04,0.015462032820089379
2014-05-05,0.013760733303731476
2014-05-06,0.02324212607251566
2014-05-07,0.02105244708711141
2014-05-08,0.021067108362943576
2014-05-09,0.01843756962378333
2014-05-10,0.017834408702119824
2014-05-11,0.004044115162276046
2014-05-12,0.004013380307144597
2014-05-13,0.0054740626454337984
2014-05-14,0.004768598491764148
2014-05-15,0.0400253191084101
2014-05-16,0.03927427251425451
2014-05-17,0.04261486101298647
2014-05-18,0.04316928220116755
2014-05-19,0.04156638360299471
2014-05-20,0.04150952004112528
2014-05-21,0.04060416648094175
2014-05-22,0.04256577134061621
2014-05-23,0.040473206160942146
2014-05-24,0.043728859196572344
2014-05-25,0.04149059606970444
2014-05-26,0.0413901531839705
2014-05-27,0.03689714769319414
2014-05-28,0.03817114622433636
2014-05-29,0.03207506689643773
2014-05-30,0.031068521404906346
2014-05-31,0.03220802486904438
2014-06-01,0.03345387520210694
2014-06-02,0.024737325174925197
2014-06-03,0.02396772081682134
2014-06-04,0.015147836055939504
2014-06-05,0.007281352445345001
2014-06-06,0.015068910824683982
2014-06-07,0.032172887715456205
2014-06-08,0.036874508688569965
2014-06-09,0.037694006398997115
2014-06-10,0.042509015043194154
2014-06-11,0.042408622144781284
2014-06-12,0.028835121565317676
2014-06-13,0.028056741782254185
2014-06-14,0.020909164684770325
2014-06-15,0.018199760718666743
2014-06-16,0.018172918014380788
2014-06-17,0.010526021982781476
2014-06-18,0.011657663024882269
2014-06-19,0.012547195080641038
2014-06-20,0.01609245115662216
2014-06-21,0.022699947413117587
2014-06-22,0.026327475732053386
2014-06-23,0.025436096845939928
